Nome da Nota,Data da Última Modificação,Data da Nota,Tags,Contagem de Palavras,Links,Caminho da Nota
Diretrizes para apresentações,2025-04-09 10:57:11,2025-04-09,data: 2025-04-09,132,0,01 - Progetos\zData Analyst\Graficos\Diretrizes para apresentações.md
Elementos de um Bom Gráfico,2024-12-17 20:38:10,2024-12-17,Gráfico,105,1,01 - Progetos\zData Analyst\Graficos\Elementos de um Bom Gráfico.md
Exemplo de gráficos,2024-09-21 19:30:02,2024-09-13,DataAnalyst,307,25,01 - Progetos\zData Analyst\Graficos\Exemplo de gráficos.md
Fechamento,2024-09-12 16:13:07,2024-09-12,data: 2024-09-12,61,3,01 - Progetos\zData Analyst\Graficos\Fechamento.md
Gráfico de cascata,2025-05-13 19:57:43,2024-09-10,DataAnalyst,37,2,01 - Progetos\zData Analyst\Graficos\Gráfico de cascata.md
Gráfico de dispersão,2024-09-07 17:49:50,2024-09-07,data: 2024-09-07,72,4,01 - Progetos\zData Analyst\Graficos\Gráfico de dispersão.md
Gráfico de inclinaçao,2024-09-29 19:19:52,2024-09-29,data: 2024-09-29,17,1,01 - Progetos\zData Analyst\Graficos\Gráfico de inclinaçao.md
Gráfico de inclinação,2024-12-31 01:28:25,2024-09-10,DataAnalyst,105,4,01 - Progetos\zData Analyst\Graficos\Gráfico de inclinação.md
Gráfico de linhas,2024-12-31 01:28:29,2024-09-10,DataAnalyst,29,2,01 - Progetos\zData Analyst\Graficos\Gráfico de linhas.md
Gráfico de Área,2024-09-11 18:18:18,2024-09-11,data: 2024-09-11,36,2,01 - Progetos\zData Analyst\Graficos\Gráfico de Área.md
Gráficos de dispersão,2025-02-12 22:47:46,2024-12-18,Gráfico,112,4,01 - Progetos\zData Analyst\Graficos\Gráficos de dispersão.md
Gráficos de área empilhada,2025-04-27 19:31:20,2025-04-27,Gráfico,10,1,01 - Progetos\zData Analyst\Graficos\Gráficos de área empilhada.md
Gráficos interativos.,2025-04-15 09:40:45,2025-04-15,data: 2025-04-15,17,0,01 - Progetos\zData Analyst\Graficos\Gráficos interativos..md
Gráficos ruins,2024-12-17 21:00:36,2024-12-17,Gráfico,40,1,01 - Progetos\zData Analyst\Graficos\Gráficos ruins.md
Histograma,2024-12-20 19:28:58,2024-12-18,Gráfico,92,7,01 - Progetos\zData Analyst\Graficos\Histograma.md
Linhas,2024-09-12 00:16:03,2024-09-07,"""#DataAnalyst""",13,2,01 - Progetos\zData Analyst\Graficos\Linhas.md
Mapa de calor,2024-09-07 17:42:25,2024-09-07,data: 2024-09-07,41,2,01 - Progetos\zData Analyst\Graficos\Mapa de calor.md
Matriz de correlção,2025-01-18 23:40:29,2025-01-18,Conceito,31,1,01 - Progetos\zData Analyst\Graficos\Matriz de correlção.md
Matrizes de dispersão,2024-12-18 23:37:14,2024-12-18,Conceito,151,3,01 - Progetos\zData Analyst\Graficos\Matrizes de dispersão.md
Pontos,2024-12-31 01:29:40,2024-09-07,DataAnalyst,11,1,01 - Progetos\zData Analyst\Graficos\Pontos.md
Princípios da Gestalt,2024-09-12 17:53:47,2024-09-12,data: 2024-09-12,44,8,01 - Progetos\zData Analyst\Graficos\Princípios da Gestalt.md
Proximidade,2024-09-12 16:06:07,2024-09-12,data: 2024-09-12,54,2,01 - Progetos\zData Analyst\Graficos\Proximidade.md
Similaridade,2024-09-12 16:07:30,2024-09-12,data: 2024-09-12,36,2,01 - Progetos\zData Analyst\Graficos\Similaridade.md
Sites,2024-09-30 15:31:31,2024-09-29,data: 2024-09-29,57,1,01 - Progetos\zData Analyst\Graficos\Sites.md
Tabela,2024-12-31 01:30:20,2024-09-07,DataAnalyst,66,2,01 - Progetos\zData Analyst\Graficos\Tabela.md
Texto simples,2024-09-07 17:17:35,2024-09-07,data: 2024-09-07,61,3,01 - Progetos\zData Analyst\Graficos\Texto simples.md
Uso de animação nos visuais apresentados,2024-09-26 16:29:10,2024-09-26,DataAnalyst,34,1,01 - Progetos\zData Analyst\Graficos\Uso de animação nos visuais apresentados.md
Visualização boa de gráficos,2025-04-09 10:43:51,2025-04-09,data: 2025-04-09,103,0,01 - Progetos\zData Analyst\Graficos\Visualização boa de gráficos.md
Chunking,2025-05-11 21:02:42,2025-05-03,ia,110,1,01 - Progetos\zData Analyst\IA\Chunking.md
Embedding,2025-05-03 19:27:45,2025-05-03,ia,196,0,01 - Progetos\zData Analyst\IA\Embedding.md
RAG,2025-05-13 16:53:02,2025-05-03,ia,194,2,01 - Progetos\zData Analyst\IA\RAG.md
Agentes  facil,2025-05-19 20:13:37,2025-05-18,data: 2025-05-18,761,0,01 - Progetos\zData Analyst\IA\Projetos\Agentes  facil.md
RAG,2025-05-13 16:47:04,2025-05-12,data: 2025-05-12,65,0,01 - Progetos\zData Analyst\IA\Projetos\RAG.md
Resumo de Feedback de Clientes,2025-05-06 20:10:54,2025-05-06,Comando,108,0,01 - Progetos\zData Analyst\IA\Projetos\Resumo de Feedback de Clientes.md
Administrador de Banco de Dados (DBA),2025-09-19 19:48:19,2025-09-19,data: 2025-09-19,38,1,01 - Progetos\zData Analyst\Linkedln\Administrador de Banco de Dados (DBA).md
Analista de Governança de Dados,2025-09-19 19:51:07,2025-09-19,data: 2025-09-19,59,1,01 - Progetos\zData Analyst\Linkedln\Analista de Governança de Dados.md
Arquiteto de Dados,2025-09-19 19:46:54,2025-09-19,data: 2025-09-19,50,2,01 - Progetos\zData Analyst\Linkedln\Arquiteto de Dados.md
Curriculo,2025-05-18 19:09:43,,,0,0,01 - Progetos\zData Analyst\Linkedln\Curriculo.md
Estratégia de funil,2025-04-24 21:51:20,2025-04-20,data: 2025-04-20,246,2,01 - Progetos\zData Analyst\Linkedln\Estratégia de funil.md
Exemplo de postes,2025-01-16 23:54:28,2024-12-06,data: 2024-12-06,297,4,01 - Progetos\zData Analyst\Linkedln\Exemplo de postes.md
Funil real de vagas,2025-05-20 20:39:56,2025-04-30,data: 2025-04-30,6041,0,01 - Progetos\zData Analyst\Linkedln\Funil real de vagas.md
linkedin,2024-09-04 01:10:30,2024-08-31,data: 2024-08-31,58,2,01 - Progetos\zData Analyst\Linkedln\linkedin.md
Network,2024-09-21 23:33:01,2024-09-21,Networking,217,0,01 - Progetos\zData Analyst\Linkedln\Network.md
Palavras chaves,2025-04-24 21:51:33,2025-04-24,data: 2025-04-24,20,0,01 - Progetos\zData Analyst\Linkedln\Palavras chaves.md
perguntas,2024-10-16 00:05:31,,,224,0,01 - Progetos\zData Analyst\Linkedln\perguntas.md
Pesquisa booleana,2025-05-15 23:25:39,2025-05-15,data: 2025-05-15,106,0,01 - Progetos\zData Analyst\Linkedln\Pesquisa booleana.md
Prompt para iniciar conversa.,2025-02-23 18:03:11,2025-02-23,data: 2025-02-23,322,0,01 - Progetos\zData Analyst\Linkedln\Prompt para iniciar conversa..md
Prompts de converças,2025-07-28 19:53:17,,,1187,0,01 - Progetos\zData Analyst\Linkedln\Prompts de converças.md
README git,2025-04-29 18:56:29,2025-04-29,data: 2025-04-29,341,0,01 - Progetos\zData Analyst\Linkedln\README git.md
Sem título,2024-10-16 00:49:25,,,466,0,01 - Progetos\zData Analyst\Linkedln\Sem título.md
sistemas de rastreamento de candidatos (ATS),2025-05-05 20:06:31,2025-05-05,data: 2025-05-05,424,0,01 - Progetos\zData Analyst\Linkedln\sistemas de rastreamento de candidatos (ATS).md
TBT,2025-03-28 11:02:22,2025-03-28,data: 2025-03-28,71,0,01 - Progetos\zData Analyst\Linkedln\TBT.md
Torne-se parceiro do contato,2024-09-18 22:55:13,2024-09-18,Networking,65,0,01 - Progetos\zData Analyst\Linkedln\Torne-se parceiro do contato.md
Vagas,2025-05-08 20:57:53,,,37477,0,01 - Progetos\zData Analyst\Linkedln\Vagas.md
Certificados,2025-06-15 19:03:50,,,28,6,01 - Progetos\zData Analyst\Linkedln\Calendário de postagens\Certificados.md
O que as empresas querem de mim,2025-01-17 20:47:31,2025-01-17,data: 2025-01-17,365,0,01 - Progetos\zData Analyst\Linkedln\nãosei\O que as empresas querem de mim.md
Reds,2025-04-24 21:52:30,2025-04-24,data: 2025-04-24,1312,0,01 - Progetos\zData Analyst\Linkedln\nãosei\Reds.md
Sarah F. Rezende,2025-06-01 20:31:18,,,321,6,01 - Progetos\zData Analyst\Linkedln\Portifolio\Sarah F. Rezende.md
a escrever,2025-08-06 20:32:24,,,6,1,01 - Progetos\zData Analyst\Linkedln\Posts\a escrever.md
Posts,2025-08-02 16:55:18,,,2237,19,01 - Progetos\zData Analyst\Linkedln\Posts\Posts.md
Projetos,2025-08-17 20:39:24,,,323,2,01 - Progetos\zData Analyst\Linkedln\Posts\Projetos.md
Acurácia,2025-05-24 19:41:41,2025-05-24,[],51,0,01 - Progetos\zData Analyst\ML\Acurácia.md
AED,2025-05-25 18:45:47,,,0,0,01 - Progetos\zData Analyst\ML\AED.md
Aprendizado,2025-05-19 20:27:11,2025-05-19,data: 2025-05-19,35,0,01 - Progetos\zData Analyst\ML\Aprendizado.md
bias (tendência),2025-05-20 19:40:57,2025-05-20,data: 2025-05-20,52,0,01 - Progetos\zData Analyst\ML\bias (tendência).md
Coeficiente de Determinação,2025-05-20 20:21:09,2025-05-20,data: 2025-05-20,74,0,01 - Progetos\zData Analyst\ML\Coeficiente de Determinação.md
Dados empíricos,2025-05-19 21:27:38,2025-05-19,data: 2025-05-19,44,0,01 - Progetos\zData Analyst\ML\Dados empíricos.md
Definindo tarefas,2025-05-25 18:37:32,2025-05-25,data: 2025-05-25,281,0,01 - Progetos\zData Analyst\ML\Definindo tarefas.md
distância Euclideana,2025-09-18 19:05:35,2025-05-25,Comando,197,5,01 - Progetos\zData Analyst\ML\distância Euclideana.md
Erro Médio Absoluto,2025-05-22 21:22:10,2025-05-22,data: 2025-05-22,167,2,01 - Progetos\zData Analyst\ML\Erro Médio Absoluto.md
Erro percentual absoluto médio,2025-05-24 19:04:23,2025-05-24,data: 2025-05-24,117,0,01 - Progetos\zData Analyst\ML\Erro percentual absoluto médio.md
Erro quadrático médio,2025-05-24 18:58:10,2025-05-22,Comando,171,1,01 - Progetos\zData Analyst\ML\Erro quadrático médio.md
Erro relativo,2025-05-22 19:08:45,2025-05-22,data: 2025-05-22,129,0,01 - Progetos\zData Analyst\ML\Erro relativo.md
F1_score,2025-09-18 19:41:45,2025-05-24,data: 2025-05-24,100,7,01 - Progetos\zData Analyst\ML\F1_score.md
Função custo,2025-05-22 21:15:14,2025-05-22,data: 2025-05-22,231,2,01 - Progetos\zData Analyst\ML\Função custo.md
Gradiente Descendente,2025-05-24 17:37:33,2025-05-22,data: 2025-05-22,119,1,01 - Progetos\zData Analyst\ML\Gradiente Descendente.md
Limiar de Decisão,2025-05-24 20:58:45,2025-05-24,data: 2025-05-24,251,0,01 - Progetos\zData Analyst\ML\Limiar de Decisão.md
LoRA,2025-07-15 01:32:15,2025-07-15,ia,36,1,01 - Progetos\zData Analyst\ML\LoRA.md
Matriz de confusão,2025-05-24 19:38:22,2025-05-24,data: 2025-05-24,104,1,01 - Progetos\zData Analyst\ML\Matriz de confusão.md
ML,2025-05-19 21:14:45,2025-05-19,data: 2025-05-19,70,0,01 - Progetos\zData Analyst\ML\ML.md
Modelo,2025-05-20 18:58:05,2025-05-20,data: 2025-05-20,30,0,01 - Progetos\zData Analyst\ML\Modelo.md
Multicolinearidade,2025-05-24 18:36:34,2025-05-24,data: 2025-05-24,115,0,01 - Progetos\zData Analyst\ML\Multicolinearidade.md
Métricas de classificação,2025-05-24 19:55:19,2025-05-24,data: 2025-05-24,38,5,01 - Progetos\zData Analyst\ML\Métricas de classificação.md
Métricas para agrupamentos,2025-05-25 17:54:59,2025-05-25,data: 2025-05-25,206,2,01 - Progetos\zData Analyst\ML\Métricas para agrupamentos.md
NLP,2025-07-19 19:47:16,2025-07-19,Datascience,32,2,01 - Progetos\zData Analyst\ML\NLP.md
NLU,2025-07-19 19:50:41,2025-07-19,DataAnalyst,233,0,01 - Progetos\zData Analyst\ML\NLU.md
Normalização,2025-05-25 17:11:24,2025-05-25,data: 2025-05-25,47,0,01 - Progetos\zData Analyst\ML\Normalização.md
O Pipeline do Aprendizado de Máquina,2025-05-24 17:39:52,2025-05-22,data: 2025-05-22,387,7,01 - Progetos\zData Analyst\ML\O Pipeline do Aprendizado de Máquina.md
Padronização,2025-05-25 17:11:32,2025-05-25,data: 2025-05-25,41,0,01 - Progetos\zData Analyst\ML\Padronização.md
Precisão e sensibilidade,2025-05-24 19:40:45,2025-05-24,data: 2025-05-24,156,0,01 - Progetos\zData Analyst\ML\Precisão e sensibilidade.md
Pré processamento de dados,2025-05-25 19:31:47,2025-05-25,Comando,359,0,01 - Progetos\zData Analyst\ML\Pré processamento de dados.md
Pré-processamento de Dados,2025-05-24 18:39:55,2025-05-24,data: 2025-05-24,279,1,01 - Progetos\zData Analyst\ML\Pré-processamento de Dados.md
Redução de dimensionalidade,2025-05-25 16:57:45,2025-05-20,data: 2025-05-20,149,0,01 - Progetos\zData Analyst\ML\Redução de dimensionalidade.md
Reforço de aprendizado,2025-05-25 16:58:44,2025-05-20,data: 2025-05-20,198,0,01 - Progetos\zData Analyst\ML\Reforço de aprendizado.md
Regularização,2025-05-24 18:35:43,2025-05-24,data: 2025-05-24,230,2,01 - Progetos\zData Analyst\ML\Regularização.md
RMSE,2025-09-11 21:15:38,2025-09-11,data: 2025-09-11,25,1,01 - Progetos\zData Analyst\ML\RMSE.md
ROC,2025-05-24 20:04:04,2025-05-24,data: 2025-05-24,73,0,01 - Progetos\zData Analyst\ML\ROC.md
Selecionando Métricas,2025-06-03 18:55:52,2025-05-25,data: 2025-05-25,49,0,01 - Progetos\zData Analyst\ML\Selecionando Métricas.md
Target variables,2025-05-19 21:14:13,2025-05-19,data: 2025-05-19,65,1,01 - Progetos\zData Analyst\ML\Target variables.md
Agrupamento aglomerativo hierárquico,2025-05-25 17:46:07,2025-05-25,data: 2025-05-25,265,1,01 - Progetos\zData Analyst\ML\Modelos\Agrupamento aglomerativo hierárquico.md
Florestas Aleatória,2025-06-03 20:19:49,2025-05-24,Comando,236,1,01 - Progetos\zData Analyst\ML\Modelos\Florestas Aleatória.md
Gradient boosting vx Árvore aleatória,2025-05-25 16:55:52,2025-05-25,data: 2025-05-25,50,1,01 - Progetos\zData Analyst\ML\Modelos\Gradient boosting vx Árvore aleatória.md
Gradient boosting,2025-05-25 16:49:57,2025-05-25,data: 2025-05-25,77,1,01 - Progetos\zData Analyst\ML\Modelos\Gradient boosting.md
K-means,2025-05-25 17:39:44,2025-05-25,data: 2025-05-25,255,1,01 - Progetos\zData Analyst\ML\Modelos\K-means.md
Modelos resumo,2025-05-22 20:09:57,2025-05-22,data: 2025-05-22,152,1,01 - Progetos\zData Analyst\ML\Modelos\Modelos resumo.md
Regressão Linear,2025-06-03 18:58:55,2025-05-22,data: 2025-05-22,474,0,01 - Progetos\zData Analyst\ML\Modelos\Regressão Linear.md
Regressão logística,2025-06-03 19:12:06,2025-05-24,data: 2025-05-24,181,1,01 - Progetos\zData Analyst\ML\Modelos\Regressão logística.md
Selecionando modelo,2025-05-25 20:26:27,2025-05-25,data: 2025-05-25,54,0,01 - Progetos\zData Analyst\ML\Modelos\Selecionando modelo.md
Snips-NLU,2025-07-19 20:55:57,2025-07-19,Datascience,736,1,01 - Progetos\zData Analyst\ML\Modelos\Snips-NLU.md
Spacy,2025-07-20 16:50:37,,,0,0,01 - Progetos\zData Analyst\ML\Modelos\Spacy.md
Árvore de decisão,2025-06-03 19:20:39,2025-05-24,data: 2025-05-24,87,0,01 - Progetos\zData Analyst\ML\Modelos\Árvore de decisão.md
Possibilidades,2025-08-07 00:41:31,,,32,0,01 - Progetos\zData Analyst\n8n\Possibilidades.md
Glossário (data science para negocios),2025-02-10 18:41:59,2024-10-28,DataAnalyst,363,46,01 - Progetos\zData Analyst\Palavras\Glossário (data science para negocios).md
Palavras,2024-10-22 01:58:35,2024-10-22,data: 2024-10-22,432,0,01 - Progetos\zData Analyst\Palavras\Palavras.md
Perceptron e Aprendizado Supervisionado,2024-10-08 23:56:05,2024-10-08,DataAnalyst,667,0,01 - Progetos\zData Analyst\PLN\Perceptron e Aprendizado Supervisionado.md
Problemas básicos,2024-10-04 00:08:26,2024-10-04,data: 2024-10-04,490,0,01 - Progetos\zData Analyst\PLN\Problemas básicos.md
Problemas de Morfologia,2024-10-04 00:46:14,2024-10-04,DataAnalyst,1102,0,01 - Progetos\zData Analyst\PLN\Problemas de Morfologia.md
Relação com o ensino de crianças,2025-08-06 20:29:37,,,436,1,01 - Progetos\zData Analyst\PLN\Relação com o ensino de crianças.md
REsumo,2024-10-01 22:51:35,2024-10-01,DataAnalyst,383,2,01 - Progetos\zData Analyst\PLN\REsumo.md
Linguagem M,2025-02-04 19:21:50,2025-02-04,[],190,0,01 - Progetos\zData Analyst\Power bi\Linguagem M.md
Muitos pra um,2025-05-21 19:21:34,2025-05-21,data: 2025-05-21,5,0,01 - Progetos\zData Analyst\Power bi\Muitos pra um.md
RELATED,2025-02-05 20:00:47,2025-02-05,Comando,30,0,01 - Progetos\zData Analyst\Power bi\RELATED.md
Tableu,2025-05-12 20:15:37,2025-05-10,data: 2025-05-10,63,1,01 - Progetos\zData Analyst\Power bi\Tableu.md
Abstração,2024-08-10 23:20:49,2024-08-10,Programação,74,3,01 - Progetos\zData Analyst\Programação\Abstração.md
Atributos Globais no HTML,2025-02-13 19:12:58,2025-02-13,[],207,0,01 - Progetos\zData Analyst\Programação\Atributos Globais no HTML.md
Atributos,2024-11-14 22:01:16,2024-08-10,Programação,58,8,01 - Progetos\zData Analyst\Programação\Atributos.md
Classes,2025-02-10 18:41:59,2024-08-10,Programação,109,5,01 - Progetos\zData Analyst\Programação\Classes.md
Construtor,2025-02-10 18:41:59,2024-08-12,Programação,134,8,01 - Progetos\zData Analyst\Programação\Construtor.md
Instância,2024-12-31 01:31:42,2024-08-10,Programação,64,3,01 - Progetos\zData Analyst\Programação\Instância.md
Métodos,2025-02-10 18:41:59,2024-08-15,Python,24,4,01 - Progetos\zData Analyst\Programação\Métodos.md
Notação do ponto,2025-01-28 20:28:04,2025-01-28,Conceito,59,0,01 - Progetos\zData Analyst\Programação\Notação do ponto.md
Objetos,2024-08-10 21:19:04,2024-08-10,"""#Programação""",16,1,01 - Progetos\zData Analyst\Programação\Objetos.md
Private,2025-02-10 18:41:59,2024-08-13,Programação,68,7,01 - Progetos\zData Analyst\Programação\Private.md
Programação Orientada a Objetos (POO),2025-02-10 18:41:59,2024-08-10,Programação,313,17,01 - Progetos\zData Analyst\Programação\Programação Orientada a Objetos (POO).md
SDK,2025-05-15 16:48:40,2025-05-15,Programação,44,0,01 - Progetos\zData Analyst\Programação\SDK.md
Análise de E-commerce,2024-10-27 20:40:54,,,469,0,01 - Progetos\zData Analyst\projetos\Análise de E-commerce.md
Aulas anotadas,2025-01-31 20:51:10,2025-01-31,[],57,0,01 - Progetos\zData Analyst\projetos\Aulas anotadas.md
poc_wilson_sons.ipynb,2025-08-08 20:47:05,,,200,0,01 - Progetos\zData Analyst\projetos\poc_wilson_sons.ipynb.md
possivel freela,2025-02-25 18:59:12,2025-02-25,data: 2025-02-25,5045,0,01 - Progetos\zData Analyst\projetos\possivel freela.md
01 vocabulário,2025-09-12 20:06:23,2025-09-12,data: 2025-09-12,114,0,01 - Progetos\zData Analyst\projetos\STAR\01 vocabulário.md
Sprint 1,2025-09-12 18:40:06,2025-09-12,data: 2025-09-12,392,0,01 - Progetos\zData Analyst\projetos\STAR\Sprint 1.md
Sprint 2,2025-09-12 19:15:06,,,459,0,01 - Progetos\zData Analyst\projetos\STAR\Sprint 2.md
Sprint 3,2025-09-12 19:58:39,2025-09-12,data: 2025-09-12,451,0,01 - Progetos\zData Analyst\projetos\STAR\Sprint 3.md
Sprint 4,2025-09-12 20:08:46,2025-09-12,data: 2025-09-12,526,0,01 - Progetos\zData Analyst\projetos\STAR\Sprint 4.md
",add_argument()",2025-01-27 20:43:28,2025-01-27,Comando,22,0,"01 - Progetos\zData Analyst\Python\argparse\Comandos\,add_argument().md"
",ArgumentParser",2025-01-27 20:42:28,2025-01-27,Comando,9,0,"01 - Progetos\zData Analyst\Python\argparse\Comandos\,ArgumentParser.md"
",parse_args()",2025-01-27 20:48:30,2025-01-27,Comando,40,0,"01 - Progetos\zData Analyst\Python\argparse\Comandos\,parse_args().md"
Combinação de opções curtas,2025-01-28 19:13:51,2025-01-28,data: 2025-01-28,23,0,01 - Progetos\zData Analyst\Python\argparse\Comandos\Combinação de opções curtas.md
help=,2025-01-28 19:10:51,2025-01-27,Comando,66,0,01 - Progetos\zData Analyst\Python\argparse\Comandos\help=.md
Aula (10),2024-08-07 14:49:38,2024-08-06,data: 2024-08-06,107,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (10).md
Aula (100),2024-08-08 19:29:39,2024-08-06,data: 2024-08-06,275,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (100).md
Aula (101),2024-08-08 19:30:57,2024-08-06,data: 2024-08-06,212,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (101).md
Aula (102),2024-08-08 19:33:00,2024-08-06,data: 2024-08-06,208,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (102).md
Aula (103),2024-08-08 19:34:32,2024-08-06,data: 2024-08-06,191,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (103).md
Aula (104),2024-08-08 19:36:43,2024-08-06,data: 2024-08-06,179,1,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (104).md
Aula (105),2024-08-08 19:38:40,2024-08-06,data: 2024-08-06,292,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (105).md
Aula (106),2024-08-08 19:51:51,2024-08-06,data: 2024-08-06,233,1,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (106).md
Aula (11),2024-08-07 14:51:26,2024-08-06,data: 2024-08-06,46,1,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (11).md
Aula (12),2024-08-07 14:55:45,2024-08-06,data: 2024-08-06,81,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (12).md
Aula (13),2024-08-07 14:57:31,2024-08-06,data: 2024-08-06,68,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (13).md
Aula (14),2024-08-07 14:58:54,2024-08-06,data: 2024-08-06,61,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (14).md
Aula (15),2024-08-07 15:00:30,2024-08-06,data: 2024-08-06,183,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (15).md
Aula (16),2024-08-07 15:02:19,2024-08-06,data: 2024-08-06,108,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (16).md
Aula (17),2024-08-07 15:14:36,2024-08-06,data: 2024-08-06,92,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (17).md
Aula (18),2024-08-07 15:17:58,2024-08-06,data: 2024-08-06,132,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (18).md
Aula (19),2024-08-07 15:19:16,2024-08-06,data: 2024-08-06,128,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (19).md
Aula (20),2024-08-07 15:21:02,2024-08-06,data: 2024-08-06,119,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (20).md
Aula (21),2024-08-07 15:22:12,2024-08-06,data: 2024-08-06,172,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (21).md
Aula (22),2024-08-07 15:25:07,2024-08-06,data: 2024-08-06,163,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (22).md
Aula (23),2024-08-07 15:26:30,2024-08-06,data: 2024-08-06,125,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (23).md
Aula (24),2024-08-07 15:28:21,2024-08-06,data: 2024-08-06,99,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (24).md
Aula (25),2024-08-07 15:29:37,2024-08-06,data: 2024-08-06,205,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (25).md
Aula (26),2024-08-07 16:51:15,2024-08-06,data: 2024-08-06,195,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (26).md
Aula (27),2024-08-07 16:49:44,2024-08-06,data: 2024-08-06,192,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (27).md
Aula (28),2024-08-06 16:35:42,2024-08-06,data: 2024-08-06,7,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (28).md
Aula (29),2024-08-07 16:54:04,2024-08-06,data: 2024-08-06,203,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (29).md
Aula (30),2024-12-31 01:31:19,2024-08-06,Programação,108,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (30).md
Aula (31),2024-08-07 16:56:47,2024-08-06,data: 2024-08-06,153,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (31).md
Aula (32),2024-08-07 16:57:44,2024-08-06,data: 2024-08-06,176,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (32).md
Aula (33),2024-08-07 16:58:59,2024-08-06,data: 2024-08-06,238,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (33).md
Aula (34),2024-08-07 17:01:03,2024-08-06,data: 2024-08-06,200,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (34).md
Aula (35),2024-08-07 17:01:49,2024-08-06,data: 2024-08-06,171,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (35).md
Aula (36),2024-08-07 17:17:09,2024-08-06,data: 2024-08-06,306,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (36).md
Aula (37),2024-08-07 17:19:25,2024-08-06,data: 2024-08-06,288,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (37).md
Aula (38),2024-08-07 17:20:53,2024-08-06,data: 2024-08-06,177,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (38).md
Aula (39),2024-08-07 17:23:35,2024-08-06,data: 2024-08-06,152,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (39).md
Aula (40),2024-08-07 17:25:48,2024-08-06,data: 2024-08-06,230,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (40).md
Aula (41),2024-08-07 17:26:47,2024-08-06,data: 2024-08-06,123,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (41).md
Aula (42),2024-08-06 16:35:42,2024-08-06,data: 2024-08-06,7,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (42).md
Aula (43),2024-08-07 17:28:18,2024-08-06,data: 2024-08-06,213,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (43).md
Aula (44),2024-08-07 17:29:37,2024-08-06,data: 2024-08-06,256,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (44).md
Aula (45),2024-08-07 17:31:24,2024-08-06,data: 2024-08-06,229,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (45).md
Aula (46),2024-08-07 17:32:51,2024-08-06,data: 2024-08-06,143,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (46).md
Aula (47),2024-08-07 17:34:00,2024-08-06,data: 2024-08-06,156,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (47).md
Aula (48),2024-08-07 17:35:31,2024-08-06,data: 2024-08-06,181,0,01 - Progetos\zData Analyst\Python\Aulas\Curso em video\Aula (48).md
